,tempC,windspeedKmph,cond,humidity,visibility,pressure,cloudcover,heatIndexC,dewPointC,windChillC,windGustKmph,feelsLikeC,tempC_Emean,tempC_Emin,tempC_Emax,tempC_Esum,windspeedKmph_Emean,windspeedKmph_Emin,windspeedKmph_Emax,windspeedKmph_Esum,cond_Emean,cond_Emin,cond_Emax,cond_Esum,humidity_Emean,humidity_Emin,humidity_Emax,humidity_Esum,visibility_Emean,visibility_Emin,visibility_Emax,visibility_Esum,pressure_Emean,pressure_Emin,pressure_Emax,pressure_Esum,cloudcover_Emean,cloudcover_Emin,cloudcover_Emax,cloudcover_Esum,heatIndexC_Emean,heatIndexC_Emin,heatIndexC_Emax,heatIndexC_Esum,dewPointC_Emean,dewPointC_Emin,dewPointC_Emax,dewPointC_Esum,windChillC_Emean,windChillC_Emin,windChillC_Emax,windChillC_Esum,windGustKmph_Emean,windGustKmph_Emin,windGustKmph_Emax,windGustKmph_Esum,feelsLikeC_Emean,feelsLikeC_Emin,feelsLikeC_Emax,feelsLikeC_Esum,precip
tempC,1.0,-0.6047499762574312,0.32874199518974073,-0.5337238011036424,0.1920762726127719,-0.2959445793765785,-0.3293292572372642,0.9363590970689676,0.4758642897209984,0.9999726515289059,-0.5510205770899936,0.9366280356085904,0.4568106645112335,-0.3015748120353106,0.5915379027625638,0.12365223621402742,-0.37342695980615037,-0.36801437608322385,-0.19954566879984437,0.1631558558459284,-0.3471218541088126,-0.3010717195203378,0.1277311043021545,0.10493788917759349,-0.7288204783201253,-0.6084555381027723,-0.09650891574728394,0.0953781797661994,0.4774298118614255,0.03733080883308775,0.10207452467265184,0.1447092049989436,-0.03932603408800756,0.043006714413692256,0.4708289960768892,0.1625982294499622,-0.7154406761873785,-0.44639265466239064,-0.02519105441261983,0.05003317028616358,0.3242424656286138,-0.35579027292116844,0.497959862907047,0.10008876109101454,-0.03800114952558256,-0.3713769374346179,0.15576220908576555,0.07238212020677161,0.45639930068023216,-0.3014205122067114,0.5915938762867596,0.12366458349326998,-0.48118452994179184,-0.3975105527904294,-0.12966591572895092,0.13407113202942778,0.3254211936981153,-0.29754297854847755,0.4979803040983637,0.09992095580318373,-0.18237887941972075
windspeedKmph,-0.6047499762574312,1.0,-0.3555523692083886,0.3288641548701329,-0.3599506405013516,-0.08628409694582684,0.32421185578621503,-0.6091586626136033,-0.28716820886361777,-0.6041203530004029,0.9556879906700648,-0.6077863538637036,-0.22251050048578863,0.14572696419544043,-0.24473727831658632,-0.09263896022379924,0.23070144175035068,0.23706794136397377,0.17002222220241578,-0.09209712055958229,0.033602877085999364,0.04167519884377974,-0.1021784298696643,-0.08293038770258239,0.2498104312289322,0.2197631939658044,-0.019269295076912676,-0.07361468946792653,-0.04730801967808242,0.07766825930997659,-0.08815773532868727,-0.09168217468717034,0.1057369594745396,-0.060254802528447365,-0.17544049909595516,-0.0959857388722575,0.18083801958418583,0.18882413955350866,-0.07000343110513411,-0.0661637579846921,-0.19114786481661206,0.16619383327521028,-0.23641171394074725,-0.08460383145839694,-0.07196917569689479,0.1683831133987501,-0.16030297862157214,-0.07113232664522734,-0.2221492203687504,0.14648951908708369,-0.24444258770444305,-0.09264291805256833,0.2594830310152137,0.23344170941748923,0.04030196139867461,-0.08363561254946521,-0.19076821532649982,0.14906520062830905,-0.2363601183459776,-0.08454404202915158,0.48402373269272275
cond,0.32874199518974073,-0.3555523692083886,1.0,0.05294803486559776,-0.207012143656395,-0.3328838107100594,0.12173815622620215,0.43500822697952757,0.3973951648752167,0.3291487462405585,-0.22976208417754257,0.43304737101377794,0.25887982273752447,-0.00013943410411901673,0.20998275136926767,0.0983538718192558,-0.14596649362255018,-0.04377884493101422,-0.16187108450248838,0.07755373714337947,0.1613023424171724,0.0930250948635757,0.13651317854076173,0.07829428876989696,-0.20706180986290917,-0.154816171688493,0.021653650598679224,0.057658613218993855,0.02483462850666029,-0.09709058912542957,-0.018740206126754633,0.08391589635835457,-0.1880774715577874,0.03393536715852524,0.02916082509298547,0.08329148774689477,-0.12955387442088798,-0.03394491146812803,0.08875367879402205,0.05019132543742979,0.24143740741651387,-0.00788721799352047,0.2514554095823518,0.08825850184997137,0.15979636200351957,-0.013111948810047465,0.20069411978404858,0.06615692426467508,0.25933852344039776,0.0002656306685742647,0.2102697563494585,0.09836336822612363,-0.17010386549048895,-0.050025939665730115,-0.017508670478647514,0.06756459215621222,0.24126013621617948,0.0026047780258779654,0.2513282873095439,0.0882486127800921,0.09847378379176917
humidity,-0.5337238011036424,0.3288641548701329,0.05294803486559776,1.0,-0.6340230128322313,-0.3616382821224368,0.6648323111521748,-0.23205921222996406,0.47209496560939623,-0.5334001440701159,0.45974000842347457,-0.2316908858806761,0.264945307591329,0.2428169210639429,0.05730491821785467,0.3906785331499829,-0.1614201353598538,0.07079291821601474,0.2814667874755076,0.3366995958143461,0.6868272850599959,0.04752175946324267,0.4244617562376411,0.38292753098138904,0.25146718458764317,0.07916690038261408,0.4879558814892843,0.36743553316945504,-0.5716617047672831,-0.500730511160018,-0.077155153067361,0.3567481422503858,-0.5546254566747804,-0.37939202642015946,-0.2014869988769763,0.34063436343067327,0.4417489046348677,0.2517529153046822,0.5109693634754744,0.39861476151202563,0.37770997751323143,0.25784107729068984,0.211965543778498,0.39813385740739043,0.5848582535380317,0.2695357242933056,0.4664552423520565,0.39520688444292534,0.26595700147526724,0.2425842224319725,0.0576488139245057,0.39067554497138135,-0.06340991355221422,0.09675072179553412,0.44954412263972005,0.35055773256184264,0.37693139240318646,0.2404838757346254,0.21170923914064085,0.3982694140491125,0.582107980046748
visibility,0.1920762726127719,-0.3599506405013516,-0.207012143656395,-0.6340230128322313,1.0,0.5540390045786595,-0.6724155000118173,-0.002459256100626852,-0.40684522150088454,0.19169366497319676,-0.5733594351685388,-0.003131620258282668,-0.2291556185284203,-0.03667103909242405,-0.15490143934697492,-0.1548107614037548,0.1542077014069241,0.04123751641732259,0.0011404058906090617,-0.1373814063430939,-0.21005451939666342,0.0074362893404626195,-0.2374648918141032,-0.14156118982543164,0.07892324344768833,0.09225796355859997,-0.1987612856437533,-0.12606157288784575,0.15847615216984337,0.26135212493473137,-0.008707188759000768,-0.13977636216684994,0.2561449210747072,0.12386807482970022,-0.005025615438279054,-0.13558144304107478,-0.029719275353402855,-0.022229468667337098,-0.25705881023186045,-0.13034831508472647,-0.24329392859983318,-0.03431574944703066,-0.21476440826739823,-0.1498682364767242,-0.23426336037114415,-0.04049732211310127,-0.2678375177174499,-0.13600422305685228,-0.22942915153778828,-0.03619701518356371,-0.15495870631749725,-0.15481373690822314,0.14171975984565355,0.0469244328330842,-0.1456091839702436,-0.13449119167340717,-0.24294302995136538,-0.03571852578629549,-0.21475621179197285,-0.14988444731919046,-0.9178656206918685
pressure,-0.2959445793765785,-0.08628409694582684,-0.3328838107100594,-0.3616382821224368,0.5540390045786595,1.0,-0.4958695365062133,-0.47399449426599494,-0.6669682182659619,-0.2962823454864463,-0.25815645856932606,-0.4743207566318875,-0.5106473478746524,0.10286621584426144,-0.47698808786205876,-0.2655149292498715,0.37468228602106834,0.20029500742355463,0.07778315453515972,-0.2513833969013519,-0.14870862703434357,0.1347747311532883,-0.3237613181238231,-0.23940453549885019,0.43883339897738627,0.3966127775057924,-0.15580927319725127,-0.2137574580374913,-0.052094757749978356,0.23183001800621655,-0.021730630799592567,-0.25426331571912475,0.3546920503704328,0.14896526582456704,-0.20751927400500678,-0.2561143000252541,0.3114341490223411,0.19888026966782443,-0.27350464182472833,-0.19476226967102234,-0.46979843202752064,0.1289305980030446,-0.5130910805200751,-0.2491059065408807,-0.29271961539126606,0.13319317279646137,-0.398984163748344,-0.21791082073747467,-0.5109678140134307,0.1025314799480517,-0.4772302407834276,-0.265526347277836,0.4151390785853224,0.22195183603662125,-0.0971329361884653,-0.23358244604861647,-0.46977896219039794,0.10140042335941331,-0.5129735483343637,-0.2490511774259047,-0.5608495760718237
cloudcover,-0.3293292572372642,0.32421185578621503,0.12173815622620215,0.6648323111521748,-0.6724155000118173,-0.4958695365062133,1.0,-0.13373872049135943,0.32084333630601275,-0.3289054135570757,0.48330844355592795,-0.1339630308818723,0.15642346581689745,0.07188198355083857,0.0663767170598376,0.1175143119591022,-0.07009753962572808,0.04372121201711656,-0.012147410663736254,0.09178974104548805,0.28353309931667675,0.10680938972008827,0.1922411413647464,0.10449664045612439,0.011748622635651237,-0.006690419119196524,0.1657823635596402,0.08869330659086758,-0.16753417222110498,-0.20794761264721157,-0.015318387781649607,0.09851702876742273,-0.2355124880544652,-0.10704492249535763,-0.08386979954327078,0.09140048804768393,0.12913547351650623,0.10332674790294304,0.23927835581663512,0.09789924587715511,0.18433559087405646,0.08155602890286662,0.1374756105647832,0.1148321093549383,0.2183783305155041,0.09160762101663009,0.2177564822869484,0.10277184083231071,0.15684524220915455,0.07165094488287341,0.06648746472045851,0.11751274001125711,-0.049924479935073984,0.03262962604425136,0.12252925684515915,0.09140051315926674,0.18373648638128032,0.07424734516074835,0.1373526999659069,0.11487129039521703,0.6376084892429017
heatIndexC,0.9363590970689676,-0.6091586626136033,0.43500822697952757,-0.23205921222996406,-0.002459256100626852,-0.47399449426599494,-0.13373872049135943,1.0,0.7337656588049432,0.9363971834939047,-0.49910451681032636,0.9999049991090124,0.6175293735506979,-0.25563142754835966,0.6828082773025616,0.2749854499132602,-0.4842953331835599,-0.3878280094956647,-0.15890296810209548,0.2943262994332492,-0.11844438115345048,-0.29076854574666766,0.29704533026919666,0.24898113845512346,-0.7255514583494951,-0.6445701276532518,0.06315581467895519,0.2297996634243016,0.3099646492000077,-0.14576767139752228,0.08959966661670614,0.2830109970806992,-0.260105022282604,-0.06707799724077294,0.4431744585816893,0.2963722211758374,-0.62982394981211,-0.4072018297361953,0.1627721977380559,0.19166866066820404,0.5121328024516039,-0.3076029334997491,0.6440703457305499,0.2508387117493809,0.18147301798906446,-0.31988186724669804,0.36000876221030725,0.2164417965957137,0.6174425500947895,-0.25556693576671446,0.6829793705101197,0.27499965587583597,-0.570294407285792,-0.41072899291580006,0.003559703595761346,0.26646095067774433,0.5129700617902064,-0.25246766156628236,0.6440084108827496,0.2507016824073857,-0.016851047287136645
dewPointC,0.4758642897209984,-0.28716820886361777,0.3973951648752167,0.47209496560939623,-0.40684522150088454,-0.6669682182659619,0.32084333630601275,0.7337656588049432,1.0,0.4761441789819844,-0.11391543212501268,0.7345018684434771,0.7889185386552705,-0.10094271870773303,0.7115572254542905,0.5733522330328055,-0.5990545469716142,-0.3436891531867632,0.11564299421945569,0.5583259412496848,0.36591602101397397,-0.3039815415302209,0.6047541620780085,0.5457421998181243,-0.5249680252744723,-0.5875651307012505,0.43435248420912503,0.5196010751153616,-0.10716716058545507,-0.5065289107887812,0.027661320480696163,0.5605310031617158,-0.6505646979202439,-0.38424986536405376,0.3083735190567564,0.5626311449464181,-0.3026693839122295,-0.24381506381497653,0.5306420798647574,0.5034917953987003,0.7679517965192351,-0.14139423546775398,0.7765653851213621,0.5563336952997114,0.5970831937704031,-0.14639881495583676,0.6836165057381831,0.5241118139435597,0.7895247469211415,-0.10075084720976815,0.7119972518818011,0.573363332618296,-0.6086150205724258,-0.34660559651407624,0.3615715074556784,0.5418995991714005,0.7683053431401075,-0.0974184221162988,0.7763612546080724,0.556293937877644,0.3665581493421049
windChillC,0.9999726515289059,-0.6041203530004029,0.3291487462405585,-0.5334001440701159,0.19169366497319676,-0.2962823454864463,-0.3289054135570757,0.9363971834939047,0.4761441789819844,1.0,-0.5502932565844405,0.9366682121574126,0.4566461589570129,-0.30096567502108756,0.5914006003244178,0.12342704926620689,-0.37295389293223724,-0.36721679160110293,-0.1996737913021193,0.1629243835794935,-0.34712303929272703,-0.3005661358116333,0.12739644661411148,0.10469935860862249,-0.7287221863529358,-0.6081911452711215,-0.09681147055621912,0.09513999299649845,0.47774789906215537,0.03770892502766073,0.10000355953267599,0.14447903134644538,-0.03920157064503004,0.04315050204499675,0.47033779523748614,0.1623699050062506,-0.7154927928427879,-0.44596213274892704,-0.02561874470474443,0.049798315705329714,0.3240536277624563,-0.3550946856056729,0.4977867309186983,0.09985909604610475,-0.0381267243292451,-0.37074959638154503,0.1553739968250999,0.07214694530415187,0.4562411873231528,-0.3007714882391755,0.5914609860069692,0.12343945176087232,-0.48068909346243094,-0.39671377253248014,-0.12989196185568072,0.1338369186867864,0.32523590427645876,-0.296781549779846,0.49780731409090706,0.09969138686056497,-0.1819836294533728
windGustKmph,-0.5510205770899936,0.9556879906700648,-0.22976208417754257,0.45974000842347457,-0.5733594351685388,-0.25815645856932606,0.48330844355592795,-0.49910451681032636,-0.11391543212501268,-0.5502932565844405,1.0,-0.4978252366625239,-0.09232436981962505,0.09709421419899968,-0.1323389174825128,-0.002222815138778695,0.11209726408991051,0.1463906421371402,0.17035572740990731,-0.00630145434517979,0.1014565011939272,0.003579276071330694,0.01930015929184032,0.0023719765923811017,0.16435098465306008,0.1295477322106183,0.0701885176052587,0.005634943906114768,-0.092747498995468,-0.037517548861643775,-0.06679961975678518,-0.0053817989433019575,-0.011585614024840495,-0.12111328400499506,-0.11385854980379084,-0.010175967144691019,0.14967771254924866,0.12489819595847464,0.04824056944556735,0.013055493746060241,-0.06200699279236135,0.11126535300650602,-0.1088502454227059,0.003007100881708974,0.026943918456057807,0.11270356449128698,-0.02716336732721892,0.010201328169787593,-0.09199156846093814,0.09777608232265134,-0.1320950103139683,-0.00222494881093273,0.14220172426924094,0.14225592900814574,0.10601981654164633,-7.913411691903231e-05,-0.061890312583749905,0.0999179014469079,-0.10883093574356524,0.0030547897773072897,0.6856157810317854
feelsLikeC,0.9366280356085904,-0.6077863538637036,0.43304737101377794,-0.2316908858806761,-0.003131620258282668,-0.4743207566318875,-0.1339630308818723,0.9999049991090124,0.7345018684434771,0.9366682121574126,-0.4978252366625239,1.0,0.6194400611920361,-0.25654153728661955,0.6848911490625486,0.2772199178403829,-0.48670880094830415,-0.3904043145771883,-0.1565206631073689,0.29679245094933515,-0.1189574163949544,-0.293841135550268,0.2994512215758702,0.251328766046864,-0.7277456762394188,-0.6471181055401845,0.06513294950835251,0.23222719238372538,0.31056767026357235,-0.14746763376280841,0.089059305535244,0.2854026651130394,-0.2613695265644997,-0.06972027255421881,0.44635478845571325,0.2988099537265144,-0.6315994828617223,-0.41069666868956134,0.16466280900243166,0.1940635006845627,0.5138158738121988,-0.3093007128976298,0.645469163386623,0.25307546880586806,0.18229362127418214,-0.32233946405819414,0.36145258393971097,0.21873902662816036,0.619354251582329,-0.2564582910275943,0.6850665805351661,0.2772340992677456,-0.5725679317801535,-0.4133298828236709,0.00574077807746632,0.26892779298242414,0.5146761428587909,-0.2527117661789413,0.6454101644595409,0.2529378968743038,-0.015864883953614902
tempC_Emean,0.4568106645112335,-0.22251050048578863,0.25887982273752447,0.264945307591329,-0.2291556185284203,-0.5106473478746524,0.15642346581689745,0.6175293735506979,0.7889185386552705,0.4566461589570129,-0.09232436981962505,0.6194400611920361,1.0,-0.3741894928524237,0.9462299235391012,0.8768806937834442,-0.8909866370212441,-0.6485166538128363,0.4961876134057936,0.8848420454720841,0.368236546064603,-0.7266530790123824,0.8710050729837943,0.8602952467245135,-0.6834277669500497,-0.8579494441439979,0.7031423315345893,0.8460692682600117,-0.17836268880057532,-0.7270634256573267,0.12488659164312932,0.8800434470660703,-0.8297743877438553,-0.735573035982213,0.6053697783826222,0.8860906484489018,-0.439635946483939,-0.5501214486363093,0.7563497889860954,0.8198920819009972,0.9791186325588415,-0.4315416332077695,0.9862753271244349,0.8617930371901281,0.7564568881402477,-0.4421656331784609,0.9062203447813576,0.8388305521841496,0.9999932936797891,-0.3739599721077088,0.9464928744212111,0.8768907338613898,-0.8801154096315381,-0.6430450343550493,0.6658641559922663,0.8687837152719762,0.9794910259629291,-0.3664446743189162,0.9862277771908933,0.8617033877024327,0.25528099199634813
tempC_Emin,-0.3015748120353106,0.14572696419544043,-0.00013943410411901673,0.2428169210639429,-0.03667103909242405,0.10286621584426144,0.07188198355083857,-0.25563142754835966,-0.10094271870773303,-0.30096567502108756,0.09709421419899968,-0.25654153728661955,-0.3741894928524237,1.0,-0.5302761440915145,-0.27963721070460384,0.6469326138604727,0.8215646553948935,-0.13322517977274076,-0.3264452891087625,0.3052528387571926,0.622790255596843,-0.4157555552442098,-0.2885378889267447,0.6058925511271938,0.6069805135475859,-0.20566817868988765,-0.29254382530756196,-0.09429032784433168,0.25189070819734477,-0.35276867497707237,-0.3073488387450507,0.11606604767645139,0.26047749508290474,-0.7239238254873599,-0.32039343677179666,0.43752909754241365,0.8593279836760178,-0.30257574892721445,-0.2755126473680514,-0.2947563336479273,0.9800518839331147,-0.42664822841141614,-0.2707883320976489,0.018212045549012543,0.9453210448292361,-0.3206397159012453,-0.26643603479027367,-0.37172105050582394,0.9997965490047585,-0.5291711992908257,-0.2796409153606647,0.6806808903201543,0.8331127770771464,-0.16749175832003307,-0.3140286180803562,-0.2924028894604091,0.9910891230571957,-0.42725489285373314,-0.2705447457939935,-0.06077990277614852
tempC_Emax,0.5915379027625638,-0.24473727831658632,0.20998275136926767,0.05730491821785467,-0.15490143934697492,-0.47698808786205876,0.0663767170598376,0.6828082773025616,0.7115572254542905,0.5914006003244178,-0.1323389174825128,0.6848911490625486,0.9462299235391012,-0.5302761440915145,1.0,0.759680426725991,-0.886223721067001,-0.7393757933092413,0.39421912127114495,0.794931539117041,0.08284069108202767,-0.7965434615194532,0.7777354786388483,0.7464524466452184,-0.8329298188387015,-0.9548722155564444,0.5543930591974646,0.7383105331207825,0.031082676708147662,-0.5826939762160268,0.19524935740192734,0.778297251680537,-0.6441010490559107,-0.6282051537992744,0.7324588931466419,0.7918154611836544,-0.6342419361302959,-0.691931863035321,0.6162031876801609,0.7004847115402049,0.8750540292931515,-0.5886375744665461,0.9679761714264067,0.740328768165403,0.5479834041642562,-0.5959535948063707,0.7654823951372515,0.7176266510654032,0.9456000155030172,-0.5303446902525684,0.9999953688546265,0.7596886211520945,-0.9144885610120514,-0.7464088377797414,0.5190640876819654,0.7725339543466077,0.8755798528764269,-0.5224133665959637,0.9680528252431637,0.7401702855227559,0.2033384899875465
tempC_Esum,0.12365223621402742,-0.09263896022379924,0.0983538718192558,0.3906785331499829,-0.1548107614037548,-0.2655149292498715,0.1175143119591022,0.2749854499132602,0.5733522330328055,0.12342704926620689,-0.002222815138778695,0.2772199178403829,0.8768806937834442,-0.27963721070460384,0.759680426725991,1.0,-0.8277229547190111,-0.5707232310544371,0.8084428171278887,0.994329937573052,0.6158888703445247,-0.7434176165189796,0.9261840706485441,0.9989239437469448,-0.3338226233305861,-0.6597603840051592,0.9167613278910901,0.9965215461216143,-0.5075928952322034,-0.8791498558407137,0.08289650907543983,0.9982502343332729,-0.9374731460277063,-0.9438286524184415,0.4419119024066642,0.9963532019666095,-0.07548009145376322,-0.4063975841965291,0.8926972948691254,0.991992513028426,0.9371164219625451,-0.3190208787406515,0.8421297354914458,0.9994651423456563,0.9113944318690966,-0.3245961543273489,0.9416954760223982,0.9970620445125059,0.8770430227430205,-0.27924078505302863,0.7599709048865596,0.9999999987166635,-0.7403219892219086,-0.5350278605502423,0.914230543014287,0.9957145953901791,0.9369687661219904,-0.27391561102594636,0.8420562233109411,0.999459295587388,0.1967904642041908
windspeedKmph_Emean,-0.37342695980615037,0.23070144175035068,-0.14596649362255018,-0.1614201353598538,0.1542077014069241,0.37468228602106834,-0.07009753962572808,-0.4842953331835599,-0.5990545469716142,-0.37295389293223724,0.11209726408991051,-0.48670880094830415,-0.8909866370212441,0.6469326138604727,-0.886223721067001,-0.8277229547190111,1.0,0.886860109196916,-0.5218896554307111,-0.8416020427601774,-0.23396617143828094,0.8505666482585402,-0.8600093751801534,-0.8249823785752489,0.6501230320513474,0.833044371150299,-0.7053191498749862,-0.8176984664027672,0.2574066547516626,0.7251691131082582,-0.26523751181391014,-0.8377255883906771,0.7352373552987675,0.7301858218336122,-0.7360467483051382,-0.8442182982675649,0.3841404680420813,0.7448970474558093,-0.7580053353388768,-0.8010239731819464,-0.8744824306953591,0.6905209505065922,-0.8890416979197439,-0.8184146438764958,-0.6398773955848623,0.693512071237318,-0.8646856440171737,-0.805541493126721,-0.8897704885701333,0.6475990209231257,-0.8856150493006758,-0.8277296284993771,0.9821313109758416,0.8757698323617181,-0.6550816160302293,-0.831199990698471,-0.8736164405610917,0.6389463402059055,-0.889244366353204,-0.8182728393420114,-0.20103813013204652
windspeedKmph_Emin,-0.36801437608322385,0.23706794136397377,-0.04377884493101422,0.07079291821601474,0.04123751641732259,0.20029500742355463,0.04372121201711656,-0.3878280094956647,-0.3436891531867632,-0.36721679160110293,0.1463906421371402,-0.3904043145771883,-0.6485166538128363,0.8215646553948935,-0.7393757933092413,-0.5707232310544371,0.886860109196916,1.0,-0.35685035901453355,-0.6077360997219007,0.0740651494347104,0.8046080053235496,-0.6815793849350779,-0.5770298571122474,0.651652390020937,0.753426436896222,-0.5009751796298179,-0.5777435035712658,0.09313928350830682,0.5401009796333758,-0.4358578033807982,-0.5926391552063592,0.4324870454148053,0.5299774456459159,-0.8165632229860308,-0.6030966870530828,0.4209382251790327,0.88069366034467,-0.5747857294408879,-0.5643392819697799,-0.5978778949544379,0.8743257408910882,-0.6711217395390792,-0.5621954343321953,-0.3094872055631704,0.8840737326536641,-0.613963619291365,-0.5558148633486584,-0.6462029158506719,0.8245455441175622,-0.7380650750264331,-0.5707268033196665,0.8940785915846743,0.9946425096346261,-0.4518306164005026,-0.5975828393007827,-0.5965460372360866,0.8207066188957656,-0.6713799539812831,-0.5619924106842948,-0.11730330219069675
windspeedKmph_Emax,-0.19954566879984437,0.17002222220241578,-0.16187108450248838,0.2814667874755076,0.0011404058906090617,0.07778315453515972,-0.012147410663736254,-0.15890296810209548,0.11564299421945569,-0.1996737913021193,0.17035572740990731,-0.1565206631073689,0.4961876134057936,-0.13322517977274076,0.39421912127114495,0.8084428171278887,-0.5218896554307111,-0.35685035901453355,1.0,0.8084397327762485,0.5514937184611259,-0.6744331839919518,0.6720029175421705,0.8241435541606121,0.03976337212441827,-0.3245329030440738,0.8182436545709437,0.8399147344886976,-0.5750512302957215,-0.7061023055847256,0.06565373319680869,0.8117963050548578,-0.7041609781811351,-0.9332110009733975,0.20917046281062412,0.8060031146166302,0.19729398932894235,-0.1927691782069242,0.6987833112222985,0.8479371045959064,0.5967413231232078,-0.15279452795052287,0.4683617198693269,0.8204399390506264,0.7312316422721363,-0.15432977933067338,0.6524602030942878,0.8407109209418477,0.49625488890447933,-0.13360023721101405,0.394335253285558,0.8084386627077482,-0.40348752591683584,-0.3109131094455953,0.9050031451838609,0.8230953596385554,0.59649228911538,-0.13275252364876275,0.468299737161755,0.8204973874483773,0.06614119638625063
